; Particle Collision Simulation Trace
; Format: SEQ -> PARTICLE_ID -> EVENT_TYPE -> DETAIL
; Particles: alpha, beta, gamma, delta, epsilon, zeta, eta
; BASE_ENERGY = 3
001 -> alpha -> DRIFT -> delta_e=1
002 -> beta -> SCATTER -> delta_e=2
003 -> gamma -> DRIFT -> delta_e=1
004 -> delta -> DRIFT -> delta_e=1
005 -> epsilon -> SCATTER -> delta_e=2
006 -> zeta -> DRIFT -> delta_e=1
007 -> eta -> DRIFT -> delta_e=1
008 -> alpha -> SCATTER -> delta_e=2
009 -> beta -> DRIFT -> delta_e=1
010 -> gamma -> SCATTER -> delta_e=2
011 -> delta -> SCATTER -> delta_e=2
012 -> epsilon -> DRIFT -> delta_e=1
013 -> zeta -> SCATTER -> delta_e=2
014 -> eta -> SCATTER -> delta_e=2
015 -> alpha -> DRIFT -> delta_e=1
016 -> beta -> DRIFT -> delta_e=1
017 -> alpha -> ABSORB -> neighbor_state=alpha:7;beta:6;gamma:6;delta:6;epsilon:6;zeta:6;eta:6
018 -> gamma -> DRIFT -> delta_e=1
019 -> delta -> DRIFT -> delta_e=1
020 -> epsilon -> DRIFT -> delta_e=1
021 -> zeta -> DRIFT -> delta_e=1
022 -> eta -> DRIFT -> delta_e=1
023 -> beta -> ABSORB -> neighbor_state=alpha:7;beta:7;gamma:6;delta:6;epsilon:6;zeta:6;eta:6
024 -> alpha -> DRIFT -> delta_e=1
025 -> gamma -> ABSORB -> neighbor_state=alpha:7;beta:6;gamma:7;delta:6;epsilon:6;zeta:6;eta:6
026 -> delta -> ABSORB -> neighbor_state=alpha:7;beta:6;gamma:6;delta:7;epsilon:6;zeta:6;eta:6
027 -> alpha -> SCATTER -> delta_e=2
028 -> epsilon -> ABSORB -> neighbor_state=alpha:7;beta:6;gamma:6;delta:6;epsilon:6;zeta:6;eta:6
029 -> zeta -> DRIFT -> delta_e=1
030 -> eta -> ABSORB -> neighbor_state=alpha:7;beta:6;gamma:6;delta:6;epsilon:6;zeta:6;eta:6
031 -> alpha -> DRIFT -> delta_e=1
032 -> beta -> SCATTER -> delta_e=2
033 -> gamma -> DRIFT -> delta_e=1
034 -> delta -> DRIFT -> delta_e=1
035 -> alpha -> ABSORB -> neighbor_state=alpha:11;beta:10;gamma:8;delta:8;epsilon:7;zeta:7;eta:7
036 -> epsilon -> DRIFT -> delta_e=1
037 -> zeta -> ABSORB -> neighbor_state=alpha:7;beta:6;gamma:6;delta:6;epsilon:6;zeta:7;eta:6
038 -> eta -> DRIFT -> delta_e=1
039 -> beta -> DRIFT -> delta_e=1
040 -> gamma -> SCATTER -> delta_e=2
041 -> delta -> SCATTER -> delta_e=2
042 -> alpha -> DRIFT -> delta_e=1
043 -> epsilon -> SCATTER -> delta_e=2
044 -> eta -> SCATTER -> delta_e=2
045 -> beta -> SCATTER -> delta_e=2
