1;bot_alpha;SPOT_BID;lot=rare_gem;price=120
2;bot_beta;SPOT_BID;lot=vintage_clock;price=95
3;bot_gamma;SPOT_BID;lot=silver_ring;price=80
4;bot_delta;SPOT_BID;lot=jade_vase;price=110
5;bot_epsilon;SPOT_BID;lot=bronze_idol;price=75
6;bot_zeta;SPOT_BID;lot=oak_chest;price=130
7;bot_eta;SPOT_BID;lot=pearl_brooch;price=88
8;bot_alpha;SURGE_BID;lot=rare_gem;price=240
9;bot_beta;SURGE_BID;lot=vintage_clock;price=190
10;bot_gamma;SURGE_BID;lot=silver_ring;price=160
11;bot_delta;SURGE_BID;lot=jade_vase;price=220
12;bot_epsilon;SURGE_BID;lot=bronze_idol;price=150
13;bot_zeta;SURGE_BID;lot=oak_chest;price=260
14;bot_eta;SURGE_BID;lot=pearl_brooch;price=176
15;bot_alpha;SPOT_BID;lot=emerald_pin;price=135
16;bot_beta;SPOT_BID;lot=ruby_cuff;price=102
17;bot_gamma;SPOT_BID;lot=onyx_ring;price=91
18;bot_delta;SPOT_BID;lot=coral_lamp;price=115
19;bot_epsilon;SPOT_BID;lot=ivory_fan;price=78
20;bot_zeta;SPOT_BID;lot=maple_box;price=140
21;bot_eta;SPOT_BID;lot=amber_dial;price=93
22;bot_alpha;SYNC_INTEL;peers=bot_beta:5;bot_gamma:4;bot_delta:5;bot_epsilon:4;bot_zeta:5;bot_eta:4
23;bot_alpha;SPOT_BID;lot=topaz_seal;price=128
24;bot_beta;SYNC_INTEL;peers=bot_alpha:6;bot_gamma:4;bot_delta:5;bot_epsilon:4;bot_zeta:5;bot_eta:4
25;bot_gamma;SPOT_BID;lot=quartz_orb;price=85
26;bot_delta;SYNC_INTEL;peers=bot_alpha:6;bot_beta:5;bot_gamma:5;bot_epsilon:4;bot_zeta:5;bot_eta:4
27;bot_epsilon;SPOT_BID;lot=lapis_cup;price=82
28;bot_zeta;SYNC_INTEL;peers=bot_alpha:6;bot_beta:5;bot_gamma:5;bot_delta:6;bot_epsilon:5;bot_eta:4
29;bot_eta;SPOT_BID;lot=garnet_pin;price=90
30;bot_alpha;SURGE_BID;lot=topaz_seal;price=256
31;bot_beta;SPOT_BID;lot=opal_ring;price=108
32;bot_gamma;SPOT_BID;lot=citrine_box;price=88
33;bot_delta;SPOT_BID;lot=sapphire_cup;price=118
34;bot_epsilon;SURGE_BID;lot=lapis_cup;price=164
35;bot_zeta;SPOT_BID;lot=agate_vase;price=145
36;bot_eta;SURGE_BID;lot=garnet_pin;price=180
37;bot_alpha;SPOT_BID;lot=diamond_leaf;price=142
38;bot_beta;SPOT_BID;lot=jasper_coin;price=99
39;bot_gamma;SYNC_INTEL;peers=bot_alpha:8;bot_beta:6;bot_delta:6;bot_epsilon:5;bot_zeta:6;bot_eta:5
40;bot_delta;SPOT_BID;lot=moonstone_key;price=125
41;bot_epsilon;SPOT_BID;lot=turquoise_bell;price=79
42;bot_eta;SYNC_INTEL;peers=bot_alpha:8;bot_beta:6;bot_gamma:6;bot_delta:7;bot_epsilon:6;bot_zeta:6
43;bot_beta;SPOT_BID;lot=feldspar_box;price=105
44;bot_zeta;SURGE_BID;lot=agate_vase;price=290
45;bot_gamma;SPOT_BID;lot=marble_disc;price=92
